Sel ternaire	MXO	Ba(NO2)2	Ba(NO{_2})_{2}	nitrite de baryum	229	72,8
Sel ternaire	MXO	Cu(NO3)2	Cu(NO{_3})_{2}	nitrate de cuivre(II)	188	125
Sel ternaire	MXO	MgCO3	MgCO{_3}	carbonate de magnésium	84	0,039
Sel ternaire	MXO	CsClO3	CsClO{_3}	chlorate de césium	216	6,2
Sel binaire	MX	SbF3	SbF_{3}	fluorure d'antimoine	179	444
Sel ternaire	MXO	Pb(ClO3)2	Pb(ClO{_3})_{2}	chlorate de plomb(II)	373	144
Sel ternaire	MXO	AgBrO3	AgBrO{_3}	bromate d'argent(I)	236	0,16
Sel binaire	MX	CdF2	CdF_{2}	fluorure de cadmium(II)	150	4
Sel ternaire	MXO	Cd(IO3)2	Cd(IO{_3})_{2}	iodate de cadmium(II)	462	0,097
Sel ternaire	MXO	Ba(MnO4)2	Ba(MnO{_4})_{2}	permanganate de baryum	375	0,015
Sel ternaire	MXO	BeCO3	BeCO{_3}	carbonate de béryllium	69	0,218
Sel binaire	MX	MnBr2	MnBr_{2}	bromure de manganèse(II)	215	147
Sel ternaire	MXO	Fe(IO3)3	Fe(IO{_3})_{3}	iodate de fer(III)	581	0,36
Sel ternaire	MXO	Cu(ClO3)2	Cu(ClO{_3})_{2}	chlorate de cuivre(II)	230	242
Sel binaire	MX	CuF2	CuF_{2}	fluorure de cuivre(II)	102	0,075
Sel ternaire	MXO	Be(ClO4)2	Be(ClO{_4})_{2}	perchlorate de béryllium	207	147
Sel ternaire	MXO	Ni(IO3)2	Ni(IO{_3})_{2}	iodate de nickel(II)	409	0,062
Sel ternaire	MXO	Ce(NO3)3	Ce(NO{_3})_{3}	nitrate de cérium	326	234
Sel ternaire	MXO	Al2(SO4)3	Al_{2}(SO{_4})_{3}	sulfate d'aluminium	246	36,4
Sel binaire	MX	CsF	CsF	fluorure de césium	152	322
Sel ternaire	MXO	MgSO4	MgSO{_4}	sulfate de magnésium	88	33,7
Sel ternaire	MXO	Mn(NO3)2	Mn(NO{_3})_{2}	nitrate de manganèse(II)	179	139
Sel ternaire	MXO	Tl3PO4	Tl_{3}PO{_4}	phosphate de thallium(I)	707	0,15
Sel ternaire	MXO	ZnSO4	ZnSO{_4}	sulfate de zinc(II)	129	53,8
Sel ternaire	MXO	CoSO4	CoSO{_4}	sulfate de cobalt(II)	123	36,1
