Perchlorate de calcium 	Ca(ClO4)2 	188
Perchlorate de césium 	CsClO4 	1,6
Perchlorate de chrome (III) 	Cr(ClO4)3 	130
Perchlorate de cobalt(II) 	Co(ClO4)2 	104
Perchlorate de fer(III) 	Fe(ClO4)3 	368
Perchlorate de lithium 	LiClO4 	56,1
Perchlorate de magnésium 	Mg(ClO4)2 	49,6
Perchlorate de mercure(I) 	Hg2(ClO4)2) 	407
Perchlorate de nickel(II) 	Ni(ClO4)2 	110
Perchlorate de potassium 	KClO4 	1,68
Perchlorate de rubidium 	RbClO4 	1,55
Perchlorate de sodium 	NaClO4 	201
Perchlorate de thallium(I) 	TlClO4 	13,1
Periodate de potassium 	KIO4 	0,42
Periodate de rubidium 	RbIO4 	0,648
Periodate de sodium 	NaIO4 	10,3
Permanganate d'argent 	AgMnO4 	0,9
Permanganate de baryum 	Ba(MnO4)2 	0,015
Permanganate de calcium 	Ca(MnO4)2 	338
Permanganate de césium 	CsMnO4 	0,228
Permanganate de lithium 	LiMnO4 	71,4
Permanganate de potassium 	KMnO4 	6,34
Permanganate de zinc 	Zn(MnO4)2 	33,3
Persulfate de potassium 	K2S2O8 	4,7
Phosphate d'ammonium 	(NH4)3PO4 	20,3
Phosphate de lithium 	Li3PO4 	0,03821
Phosphate de potassium 	K3PO4 	92,3
Phosphate de sodium 	Na3PO4 	12,1
Phosphate de thallium(I) 	Tl3PO4 	0,15
Pyrophosphate de thallium(I) 	Tl4P2O7 	40
Sélénate de cadmium 	CdSeO4 	64
Sélénate de cuivre(II) 	CuSeO4 	17,5
Sélénate de lanthane(III) 	La2(SeO4)3 	45
Sélénate de magnésium 	MgSeO4 	38,3
Sélénate de néodyme(III) 	Nd2(SeO4)3 	41,8
Sélénate de plomb(II) 	PbSeO4 	0,0131
Sélénate de potassium 	K2SeO4 	111
Sélénate de rubidium 	Rb2SeO4 	159
Sélénate de sodium 	Na2SeO4 	26,9
Sélénate de strontium 	SrSeO4 	0,656
Sélénate de thallium(I) 	Tl2SeO4 	2,8
Séléniate d'ammonium 	(NH4)2SeO4 	115
Séléniate de cérium(III) 	Ce2(SeO4)3 	35,2
Sélénite de lithium 	Li2SeO3 	21,5
Sélénite de magnésium 	MgSeO3 	0,05454
Séléniure de lithium 	Li2Se 	57,7
Sulfate d'aluminium 	Al2(SO4)3 	36,4
Sulfate d'ammonium 	(NH4)2SO4 	75,4
Sulfate d'argent 	Ag2SO4 	0,8
Sulfate d'étain(II) 	SnSO4 	18,9
Sulfate d'yttrium(III) 	Y2(SO4)3 	7,3
Sulfate de béryllium 	BeSO4 	39,1
Sulfate de cadmium 	CdSO4 	76,6
Sulfate de césium 	Cs2SO4 	179
Sulfate de cobalt(II) 	CoSO4 	36,1
Sulfate de gadolinium(III) 	Gd2(SO4)3 	2,6
Sulfate de lanthane(III) 	La2(SO4)3 	2,33
Sulfate de lithium 	Li2SO4 	34,8
Sulfate de magnésium 	MgSO4 	33,7
Sulfate de manganese(II) 	MnSO4 	62,9
Sulfate de mercure(I) 	Hg2SO4 	0,04277
Sulfate de néodyme(III) 	Nd2(SO4)3 	7,1
Sulfate de potassium 	K2SO4 	11,1
Sulfate de praséodyme(III) 	Pr2(SO4)3 	12,6
Sulfate de rubidium 	Rb2SO4 	48,1
Sulfate de sodium 	Na2SO4 	19,5
Sulfate de strontium 	SrSO4 	0,0132
Sulfate de thallium(I) 	Tl2SO4 	4,87
Sulfate de zinc 	ZnSO4 	53,8
Sulfite d'ammonium 	(NH4)2SO3 	60,8
Sulfure d'hydrogène 	H2S 	0,33
Sulfure de baryum 	BaS 	7,86
Tartrate d'ammonium 	(NH4)2C4H4O6 	63
Tartrate de lithium 	Li2C4H4O6 	27,1
Tartrate de zinc 	ZnC4H4O6 	0,022
Tétrafluoroborate de césium 	CsBF4 	0,818
Thiocyanate d'ammonium 	NH4SCN 	170
Thiocyanate de lithium 	LiSCN 	114
Thiocyanate de mercure(II) 	Hg(SCN)2 	0,063
Thiocyanate de plomb(II) 	Pb(SCN)2 	0,553
Thiocyanate de potassium 	KSCN 	224
Thiosulfate d'ammonium 	(NH4)2S2O3 	173
Thiosulfate de magnésium 	MgS2O3 	50
Thiosulfate de plomb(II) 	PbS2O3 	0,0202
Thiosulfate de potassium 	K2S2O3 	155
Thiosulfate de sodium 	Na2S2O3 	73
Trioxyde d'arsenic 	As2O3 	1,8
Trioxyde de bore	B2O3 	2,2
Tungstate d'argent 	AgVO3 	0,01462
Tungstate de cadmium 	CdWO4 	0,04642
Tungstate de lithium 	LiVO3 	4,82
Tungstate de plomb(II) 	PbWO4 	0,02838
Tungstate de potassium 	K2WO4 	51,5
